Gene	CLs	DCLs	DCL.same	DCL.diff	DCL.switch	p	q	Project	Tissue
PKP2	40	40	20	20	0	3.98179336848219e-96	1.76658899114993e-93	Mayo	temporal cortex
ENPP6	21	17	17	0	0	1.68005445616296e-37	5.59038120288223e-35	Mayo	temporal cortex
SEMA3D	39	13	13	0	0	7.26825371952754e-22	1.93480914013823e-19	Mayo	temporal cortex
ASAP2	31	6	6	0	0	3.30119014077686e-09	7.32314012895666e-07	Mayo	temporal cortex
ECT2	331	11	11	0	0	1.9293258818916e-07	3.66847535542532e-05	Mayo	temporal cortex
ZBTB38	65	6	6	0	0	3.28483654426227e-07	5.46514680051635e-05	Mayo	temporal cortex
CRIM1	40	5	5	0	0	6.93488407044748e-07	0.000102559229975173	Mayo	temporal cortex
N4BP2	33	4	4	0	0	1.07259107341561e-05	0.00142761871871618	Mayo	temporal cortex
B3GNT5	39	4	4	0	0	2.1138428321585e-05	0.00234460400800248	Mayo	temporal cortex
P2RY12	39	4	4	0	0	2.1138428321585e-05	0.00234460400800248	Mayo	temporal cortex
ADCY7	41	4	4	0	0	2.58558164133008e-05	0.00264723781893102	Mayo	temporal cortex
ANLN	61	4	4	0	0	0.000124776138743795	0.0118626457619994	Mayo	temporal cortex
PCDHGA3	26	3	3	0	0	0.000169484285493085	0.0150389055994197	Mayo	temporal cortex
PRKG2	6	2	1	1	0	0.000251952400357353	0.0209592903047273	Mayo	temporal cortex
NFAT5	35	3	3	0	0	0.000414987127228924	0.0324910509612763	Mayo	temporal cortex
GK5	9	2	2	0	0	0.000599724171682851	0.044346270694993	Mayo	temporal cortex
CX3CR1	41	3	3	0	0	0.000663550862116377	0.0464834840777315	Mayo	temporal cortex
DENND4C	53	3	3	0	0	0.00140549754623126	0.0935358617016905	Mayo	temporal cortex
TMEM130	68	2	2	0	0	4.55218919923919e-05	0.0605441163498812	MSBB	inferior frontal gyrus
ZNF804A	179	27	27	0	0	1.39639860223861e-35	1.85721014097735e-32	MSBB	parahippocampal gyrus
NRSN1	138	15	15	0	0	3.20828361604006e-18	2.13350860466664e-15	MSBB	parahippocampal gyrus
WASF1	278	16	16	0	0	6.31698519642854e-15	2.80053010374999e-12	MSBB	parahippocampal gyrus
MAGEE1	165	8	8	0	0	1.37822643212928e-07	4.58260288682985e-05	MSBB	parahippocampal gyrus
CAP2	198	8	8	0	0	5.51923868929467e-07	0.000146811749135238	MSBB	parahippocampal gyrus
MAP3K21	23	4	4	0	0	1.17044620938247e-06	0.000259448909746447	MSBB	parahippocampal gyrus
CNR1	303	9	9	0	0	1.41682751066877e-06	0.000269197227027066	MSBB	parahippocampal gyrus
HPRT1	317	9	9	0	0	2.049043232116e-06	0.000340653437339285	MSBB	parahippocampal gyrus
OCLN	38	4	4	0	0	9.3634049480576e-06	0.0013837031756574	MSBB	parahippocampal gyrus
MCTP1	214	6	6	0	0	0.000111070788368898	0.0147724148530634	MSBB	parahippocampal gyrus
ERICH3	231	6	6	0	0	0.000168113641354113	0.0203264675455427	MSBB	parahippocampal gyrus
FAM153B	293	31	31	0	0	2.96029495475865e-66	4.04080261324556e-63	 GSE125583	fusiform gyrus
CYP2C8	32	11	11	0	0	1.05079020978954e-30	7.17164318181362e-28	 GSE125583	fusiform gyrus
CKMT1B	86	5	5	0	0	1.65904528495782e-10	7.5486560465581e-08	 GSE125583	fusiform gyrus
