Gene.1	Gene.2	cor.1	cor.2	cor.diff	p.1	p.2	p.diffcor	q.1	q.2	q.diffcor	type
CYP2C8	SNAP25	0.307380343441725	0.814722457763315	0.507342114321591	0.0101941736684159	4.45990621409178e-52	5.30458166281278e-09	0.0162509967894446	4.38232707263429e-51	1.70871771881048e-05	same signed
FAM153B	GAD2	0.30094994519547	0.806664197311668	0.505714252116199	0.0119792032065097	2.56209523901896e-50	1.0598839139675e-08	0.0188837198498285	2.36289646512312e-49	2.37301232784703e-05	same signed
STAT4	CYP2C8	0.276945560833029	0.819030155722424	0.542084594889395	0.0212386431290206	4.71256770082428e-53	7.04421854180737e-10	0.0321260527785753	4.79246528848095e-52	6.01621501571076e-06	same signed
STXBP5L	CYP2C8	0.231165509682134	0.804604632795687	0.573439123113554	0.0559920464005084	6.99825886727381e-50	5.22991427942543e-10	0.0784849424750733	6.34973258283175e-49	5.01654177827623e-06	same signed
INA	CYP2C8	0.306576543660943	0.823078265288318	0.516501721627375	0.0104038273689244	5.39544358149695e-54	1.70679004263263e-09	0.0165624123804711	5.68245669052613e-53	9.57169912281926e-06	same signed
LRTM2	CYP2C8	0.300474972597735	0.805935635547692	0.505460662949957	0.0121211849692711	3.66071526602922e-50	1.13112657018632e-08	0.0190920506969926	3.355589576995e-49	2.44447749407238e-05	same signed
CREG2	CYP2C8	0.301059554256485	0.803838112351571	0.502778558095086	0.0119466435712648	1.01409635795464e-49	1.48745025185804e-08	0.0188359978520988	9.14815227829287e-49	2.82018750094135e-05	same signed
MAP7D2	CYP2C8	0.295725246620387	0.81425593333966	0.518530686719272	0.0136230628186995	5.66897778810325e-52	3.25078741703066e-09	0.021276650711528	5.54893066996011e-51	1.34614815462466e-05	same signed
SV2B	CYP2C8	0.302082572159299	0.805114013793695	0.503031441634396	0.0116464329984632	5.46442449838239e-50	1.34170647925203e-08	0.0183937843801638	4.9773457709452e-49	2.63509454162466e-05	same signed
VSTM5	CYP2C8	0.251114358786993	0.815989787890569	0.564875429103576	0.0374081341793697	2.316473719719e-52	3.03481240138126e-10	0.0541758649655737	2.29916079908951e-51	3.40385290219019e-06	same signed
FAM153B	CLSTN3	0.322469857508221	0.845535110248537	0.523065252740317	0.00688618732234614	1.08453716162813e-59	1.3355005989979e-10	0.0112729366941549	1.41056803939096e-58	2.42018477925043e-06	same signed
FAM153B	CDH18	0.315016441359152	0.844876343477076	0.529859902117924	0.00837887295715767	1.64080979395084e-59	1.00934371971562e-10	0.0135374985282699	2.11946754011108e-58	2.2697767054769e-06	same signed
FAM153B	PAK1	0.324113993423456	0.853855408040506	0.529741414617049	0.00659026993838075	4.88806626522427e-62	3.53646001371999e-11	0.0108206667520376	6.97354532095878e-61	1.73450391993679e-06	same signed
CKMT1B	CHRNB2	0.342637924735111	0.852558690547983	0.509920765812871	0.00395214509511884	1.15941465497018e-61	1.18899112777626e-10	0.00671283468362098	1.63058614166361e-60	2.3550372565548e-06	same signed
FAM153B	LRRTM1	0.30518816222141	0.838326634442604	0.533138472221194	0.0107747955002066	9.08814948698279e-58	1.73171477158007e-10	0.0171125050114856	1.09838638926037e-56	2.60016972952748e-06	same signed
FAM153B	NELL1	0.313554987212276	0.826773726470975	0.513218739258699	0.00870263853803678	7.105291196797e-55	1.44149359115886e-09	0.0140239422500746	7.72220128634799e-54	8.51442614999529e-06	same signed
FAM153B	SVOP	0.248227986846913	0.823590095233431	0.575362108386518	0.0397270373079578	4.08612607063582e-54	8.98190410936195e-11	0.0572567231410493	4.32143204459807e-53	2.20161410015077e-06	same signed
CKMT1B	SVOP	0.321227621483376	0.852855013147785	0.531627391664409	0.00711744423845855	9.52444215474413e-62	3.61519703062640e-11	0.0116253046142788	1.34399274466682e-60	1.73450391993679e-06	same signed
FAM153B	TMEM130	0.306686152721958	0.849814645315929	0.543128492593971	0.0103750192409369	7.01896578715838e-61	2.83102430387316e-11	0.0165193478439494	9.56336014670962e-60	1.73450391993679e-06	same signed
FAM153B	ENTPD3	0.316989404457435	0.845663679971592	0.528674275514157	0.00795851701951689	1.00012107228403e-59	9.82911529945341e-11	0.0129028825354605	1.30254020036846e-58	2.2697767054769e-06	same signed
FAM153B	KCNJ4	0.298428936792108	0.822489293509372	0.524060356717264	0.0127495881284997	7.42088292461914e-54	1.24632659748158e-09	0.0200087561914739	7.7750020157065e-53	8.11358614960511e-06	same signed
FAM153B	GAP43	0.258640847643405	0.831807537246955	0.57316668960355	0.0318856810510863	4.15043332806203e-56	4.41862102462665e-11	0.0467585198069502	4.71858103914413e-55	1.73450391993679e-06	same signed
CKMT1B	NRIP3	0.304822798684691	0.813346149489854	0.508523350805162	0.0108743082945672	9.03285650547565e-52	5.59594592886015e-09	0.0172583320331102	8.77743377658342e-51	1.76590981137416e-05	same signed
BEX5	FAM153B	0.263171355498721	0.824627224332738	0.561455868834017	0.0289035686346893	2.32008054751245e-54	1.62967861427887e-10	0.0427156031354886	2.47494222864712e-53	2.54195246447503e-06	same signed
AGBL4	FAM153B	0.27869930580928	0.803022612965338	0.524323307156058	0.0204000302850008	1.50203953151995e-49	5.89204840473201e-09	0.0309451883389155	1.34710371972819e-48	1.79886035667427e-05	same signed
C2orf80	FAM153B	0.330471318962368	0.869467445840004	0.538996126877637	0.00554855599843246	7.35611917669308e-67	2.52220466734343e-12	0.00921653921137094	1.27088412611515e-65	8.35306963598015e-07	same signed
L1CAM	FAM153B	0.329850200949945	0.830005112177083	0.500154911227138	0.0056434989821757	1.15987967145598e-55	2.03589611835753e-09	0.00936351996228149	1.29701715621444e-54	1.02273098201433e-05	same signed
